common name,genus,species,code,num
Double-striped Thick-knee,Burhinus,bistriatus,DSTK,5
Double-toothed Kite,Harpagus,bidentatus,DTKI,5
Dusky Flycatcher,Empidonax,oberholseri,DUFL,1
Dusky Grouse,Dendragapus,obscurus,DUGR,2
Dunlin,Calidris,alpina,DUNL,1
Dusky Thrush,Turdus,naumanni,DUTH,4
Dusky Warbler,Phylloscopus,fuscatus,DUWA,4
Eastern Bluebird,Sialia,sialis,EABL,1
Eared Grebe,Podiceps,nigricollis,EAGR,1
Eastern Kingbird,Tyrannus,tyrannus,EAKI,1
Eastern Meadowlark,Sturnella,magna,EAME,1
Eastern Phoebe,Sayornis,phoebe,EAPH,1
Eared Quetzal,Euptilotis,neoxenus,EAQU,4
Eastern Screech-Owl,Megascops,asio,EASO,1
Eastern Towhee,Pipilo,erythrophthalmus,EATO,1
Eastern Wood-Pewee,Contopus,virens,EAWP,1
Egyptian Goose,Alopochen,aegyptiaca,EGGO,2
Eurasian Hobby,Falco,subbuteo,EHOB,4
Eurasian Hoopoe,Upupa,epops,EHOO,5
Elf Owl,Micrathene,whitneyi,ELOW,2
Elegant Tern,Thalasseus,elegans,ELTE,1
Elegant Trogon,Trogon,elegans,ELTR,2
Emperor Goose,Anser,canagicus,EMGO,2
Erckel's Francolin,Francolinus,erckelii,ERFR,2
Eastern Spot-billed Duck,Anas,zonorhyncha,ESBD,4
Eskimo Curlew,Numenius,borealis,ESCU,6
Eurasian Tree Sparrow,Passer,montanus,ETSP,2
Eurasian Blackbird,Turdus,merula,EUBB,5
Eurasian Bullfinch,Pyrrhula,pyrrhula,EUBU,4
Eurasian Collared-Dove,Streptopelia,decaocto,EUCD,1
Eurasian Coot,Fulica,atra,EUCO,5
Eurasian Curlew,Numenius,arquata,EUCU,4
Eurasian Dotterel,Charadrius,morinellus,EUDO,4
European Golden-Plover,Pluvialis,apricaria,EUGP,4
Eurasian Jackdaw,Corvus,monedula,EUJA,4
Eurasian Kestrel,Falco,tinnunculus,EUKE,4
Eurasian Oystercatcher,Haematopus,ostralegus,EUOY,5
Eurasian Siskin,Spinus,spinus,EUSI,5
Eurasian Skylark,Alauda,arvensis,EUSK,2
European Storm-Petrel,Hydrobates,pelagicus,EUSP,4
European Starling,Sturnus,vulgaris,EUST,1
European Turtle-Dove,Streptopelia,turtur,EUTD,5
Eurasian Wigeon,Mareca,penelope,EUWI,2
Eurasian Woodcock,Scolopax,rusticola,EUWO,5
Eurasian Wryneck,Jynx,torquilla,EUWR,5
Evening Grosbeak,Coccothraustes,vespertinus,EVGR,1
Eastern Whip-poor-will,Antrostomus,vociferus,EWPW,1
Eyebrowed Thrush,Turdus,obscurus,EYTH,3
Eastern Yellow Wagtail,Motacilla,tschutschensis,EYWA,2
Falcated Duck,Mareca,falcata,FADU,4
Flame-colored Tanager,Piranga,bidentata,FCTA,3
Far Eastern Curlew,Numenius,madagascariensis,FECU,4
Ferruginous Hawk,Buteo,regalis,FEHA,1
Fea's Petrel,Pterodroma,feae,FEPE,3
Ferruginous Pygmy-Owl,Glaucidium,brasilianum,FEPO,3
Flesh-footed Shearwater,Ardenna,carneipes,FFSH,3
Fish Crow,Corvus,ossifragus,FICR,1
Fieldfare,Turdus,pilaris,FIEL,4
Field Sparrow,Spizella,pusilla,FISP,1
Flammulated Owl,Psiloscops,flammeolus,FLOW,2
Florida Scrub-Jay,Aphelocoma,coerulescens,FLSJ,2
Fox Sparrow,Passerella,iliaca,FOSP,1
Forster's Tern,Sterna,forsteri,FOTE,1
Franklin's Gull,Leucophaeus,pipixcan,FRGU,1
Five-striped Sparrow,Amphispiza,quinquestriata,FSSP,3
Fork-tailed Flycatcher,Tyrannus,savana,FTFL,3
Fork-tailed Storm-Petrel,Oceanodroma,furcata,FTSP,2
Fork-tailed Swift,Apus,pacificus,FTSW,4
Fan-tailed Warbler,Basileuterus,lachrymosus,FTWA,4
Fulvous Whistling-Duck,Dendrocygna,bicolor,FUWD,1
Gadwall,Mareca,strepera,GADW,1
Gambel's Quail,Callipepla,gambelii,GAQU,1
Garganey,Spatula,querquedula,GARG,4
Groove-billed Ani,Crotophaga,sulcirostris,GBAN,2
Gray-backed Tern,Onychoprion,lunatus,GBAT,2
Great Black-backed Gull,Larus,marinus,GBBG,1
Great Blue Heron,Ardea,herodias,GBHE,1
Gull-billed Tern,Gelochelidon,nilotica,GBTE,1
Gray-collared Becard,Pachyramphus,major,GCBE,5
Great Crested Flycatcher,Myiarchus,crinitus,GCFL,1
Golden-crowned Kinglet,Regulus,satrapa,GCKI,1
Gray-crowned Rosy-Finch,Leucosticte,tephrocotis,GCRF,1
Golden-crowned Warbler,Basileuterus,culicivorus,GCRW,4
Golden-crowned Sparrow,Zonotrichia,atricapilla,GCSP,1
Great Crested Tern,Thalasseus,bergii,GCTE,5
Gray-cheeked Thrush,Catharus,minimus,GCTH,1
Golden-cheeked Warbler,Setophaga,chrysoparia,GCWA,2
Gray-crowned Yellowthroat,Geothlypis,poliocephala,GCYE,4
Golden-fronted Woodpecker,Melanerpes,aurifrons,GFWO,1
Great Gray Owl,Strix,nebulosa,GGOW,2
Gray-headed Chickadee,Poecile,cinctus,GHCH,3
Gray-hooded Gull,Chroicocephalus,cirrocephalus,GHGU,5
Great Horned Owl,Bubo,virginianus,GHOW,1
Gilded Flicker,Colaptes,chrysoides,GIFL,2
Gila Woodpecker,Melanerpes,uropygialis,GIWO,1
Green Kingfisher,Chloroceryle,americana,GKIN,2
Great Kiskadee,Pitangus,sulphuratus,GKIS,2
Glaucous Gull,Larus,hyperboreus,GLGU,1
Glossy Ibis,Plegadis,falcinellus,GLIB,1
Green-breasted Mango,Anthracothorax,prevostii,GNBM,4
Greater Necklaced Laughingthrush,Garrulax,pectoralis,GNLA,3
Golden Eagle,Aquila,chrysaetos,GOEA,1
Gray Francolin,Francolinus,pondicerianus,GRAF,2
Gray Heron,Ardea,cinerea,GRAH,5
Gray Jay,Perisoreus,canadensis,GRAJ,1
Gray Kingbird,Tyrannus,dominicensis,GRAK,2
Greater Amakihi,Viridonia,sagittirostris,GRAM,6
Gray Partridge,Perdix,perdix,GRAP,2
Great Auk,Pinguinus,impennis,GRAU,6
Gray Wagtail,Motacilla,cinerea,GRAW,4
Gray Bunting,Emberiza,variabilis,GRBU,5
Gray Catbird,Dumetella,carolinensis,GRCA,1
Great Cormorant,Phalacrocorax,carbo,GRCO,1
